,Содержание,Сервис,Приоритет,Статус,Функциональная группа,Крайний срок,Дата обращения,Тип обращения на момент подачи,Тип обращения итоговый,Решение             ,Тип переклассификации,Дата восстановления,Дата закрытия обращения,Критичность,Влияние,Система,Место,range_time,numeric_sod,numeric_ans,time_to_solve
10,Выполнена разблокировка у/з REGION\*****,Сервис7,2,1,0,2018-01-31 07:51,2018-01-26 00:41:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-26 00:41:00,2018-01-26 08:47:00,1,3,7,6,8.1,299,282,127.16666666666667
11,Штатное отключение УЗ,Сервис7,2,1,7,2018-01-31 07:51,2018-01-26 00:43:00,0,0,Исполнено,0,2018-01-27 01:13:00,2018-01-27 02:12:00,1,3,7,7,25.48333333333333,1157,829,127.13333333333334
12,Штатное отключение УЗ,Сервис7,2,1,7,2018-01-31 07:51,2018-01-26 00:44:00,0,0,Выполнено.,0,2018-01-26 01:12:00,2018-01-26 02:13:00,1,3,7,7,1.4833333333333334,1157,365,127.11666666666666
13,Замена/добавление Сертификат на сервере Система13,Сервис13,2,1,8,2018-01-31 07:51,2018-01-26 00:52:00,0,0,Приложенный АТФ зарегистрирован в Сисстема398 в соответствии с заявкой,0,2018-01-27 00:30:00,2018-02-03 07:52:00,1,4,13,2,199.0,330,1109,126.98333333333333
14,разблокировать УЗ в интернет сегменте,АРМ,3,1,2,2018-01-31 07:51,2018-01-26 01:39:00,0,0,Пользователь разблокирован,0,2018-01-26 01:56:00,2018-02-02 07:52:00,4,3,0,8,174.21666666666667,1229,1048,126.2
15,"Заявка № ***********, *******************",АРМ,3,1,9,2018-02-01 03:51,2018-01-26 01:52:00,0,0,Работы по обращению выполнены,0,2018-01-27 00:58:00,2018-02-03 07:52:00,4,4,0,9,198.0,458,1167,145.98333333333332
16,"Заявка № ***********, *******************",АРМ,3,1,9,2018-02-01 03:51,2018-01-26 01:52:00,0,0,Работы по обращению выполнены,0,2018-01-26 10:32:00,2018-02-02 11:49:00,4,4,0,9,177.95,458,1167,145.98333333333332
17,"Заявка № ***********, *******************",Сервис95,3,1,9,2018-02-01 03:51,2018-01-26 01:52:00,0,0,Работы по обращению выполнены,0,2018-01-27 00:59:00,2018-02-03 07:52:00,4,4,94,9,198.0,458,1167,145.98333333333332
18,"Заявка № ***********, *******************",Сервис205,3,1,9,2018-02-01 03:51,2018-01-26 01:52:00,0,0,Работы по обращению выполнены,0,2018-01-27 00:58:00,2018-02-03 07:52:00,4,4,218,9,198.0,458,1167,145.98333333333332
19,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис12,2,1,8,2018-01-31 07:51,2018-01-26 02:05:00,0,0,Выполнено отключение П\Я,0,2018-01-26 05:40:00,2018-02-02 07:52:00,1,4,133,9,173.78333333333333,374,336,125.76666666666667
20,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-01-28 06:36,2018-01-26 02:06:00,0,0,Работы по обращению выполнены,0,2018-01-26 05:48:00,2018-02-02 07:52:00,1,4,13,1,173.76666666666668,374,1167,52.5
21,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-01-28 02:36,2018-01-26 02:07:00,0,0,Работы по обращению выполнены,0,2018-01-27 00:08:00,2018-02-03 07:52:00,1,4,13,1,197.75,374,1167,48.483333333333334
22,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис71,3,1,8,2018-01-28 02:36,2018-01-26 02:08:00,0,0,Работы по обращению выполнены,0,2018-01-26 03:30:00,2018-02-02 07:52:00,4,4,138,10,173.73333333333332,374,1167,48.46666666666667
23,"Заявка № ***********, *******************",Сервис7,2,1,10,2018-01-31 07:51,2018-01-26 02:09:00,0,0,Доступ прекращен в зоне своей ответственности,0,2018-01-26 09:55:00,2018-02-02 11:13:00,1,4,7,9,177.06666666666666,458,660,125.7
24,"Заявка № ***********, *******************",АРМ,3,1,9,2018-01-31 07:51,2018-01-26 02:09:00,0,0,Заявка выполнена,0,2018-01-28 04:36:00,2018-02-04 07:53:00,4,4,0,9,221.7333333333333,458,779,125.7
25,Разблокировать учетную запись пользователя Система21,Сервис21,2,1,11,2018-01-31 07:51,2018-01-26 02:14:00,0,0,Пользователь разблокирован в Система21,0,2018-01-26 10:21:00,2018-01-27 03:10:00,1,4,21,11,24.933333333333334,827,1049,125.61666666666666
26,Сервисы SNS#1 - Базовые сервисы,Сервис2,3,1,12,2018-01-31 07:51,2018-01-26 02:21:00,0,0,Исполнено,0,2018-01-27 01:17:00,2018-02-03 07:52:00,4,4,2,7,197.51666666666668,1034,829,125.5
27,Разблокировка ПЭВМ,АРМ,3,1,13,2018-01-31 07:51,2018-01-26 02:28:00,0,0,Выполнена разблокировка и пересчет эталонов КЦ.,0,2018-01-26 02:36:00,2018-02-07 08:43:00,4,3,0,12,294.25,830,278,125.38333333333334
28,"Заявка № ***********, *******************",Сервис154,3,1,14,2018-01-31 07:51,2018-01-26 02:36:00,0,0,Заявка выполнена,0,2018-01-27 03:55:00,2018-02-03 07:52:00,2,4,97,9,197.26666666666668,458,779,125.25
29,"Заявка № ***********, *******************",АРМ,3,1,2,2018-02-03 03:51,2018-01-26 02:36:00,0,0,Работы по обращению выполнены,0,2018-01-27 08:30:00,2018-02-03 09:45:00,4,4,0,2,199.15,458,1167,193.25
30,"Заявка № ***********, *******************",АРМ,3,1,2,2018-02-11 05:06,2018-01-26 02:36:00,0,0,Работы по обращению выполнены,0,2018-01-27 03:51:00,2018-02-03 07:52:00,4,4,0,2,197.26666666666668,458,1167,386.5
31,"Заявка № ***********, *******************",Сервис21,2,1,9,2018-02-01 03:51,2018-01-26 02:36:00,0,0,Работы по обращению выполнены,0,2018-01-27 03:33:00,2018-02-03 07:52:00,1,4,21,9,197.26666666666668,458,1167,145.25
32,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис41,3,1,8,2018-01-31 03:53,2018-01-26 02:38:00,0,0,Работы по обращению выполнены,0,2018-01-26 09:58:00,2018-02-02 11:13:00,4,4,43,1,176.58333333333334,374,1167,121.25
33,разблокировка УЗ REGION\*****,Сервис7,2,1,0,2018-01-31 07:51,2018-01-26 02:47:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 02:47:00,2018-01-26 02:59:00,1,3,7,13,0.2,1237,12,125.06666666666666
34,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-01-31 07:51,2018-01-26 02:48:00,0,0,"Добрый день. Контрагент добавлен в справочник Поставщики (подрядчики, исполнители).
При наличии дополнительных вопросов, просьба перезвонить по тел ********",0,2018-01-26 03:32:00,2018-01-26 04:09:00,3,4,18,14,1.35,514,495,125.05
35,Выполнить установку/удаление ПО,АРМ,3,1,16,2018-01-31 07:51,2018-01-26 02:55:00,0,0,Выполнено,0,2018-01-27 06:21:00,2018-01-27 06:58:00,4,4,0,15,28.05,307,313,124.93333333333334
36,Выполнить установку/удаление ПО,АРМ,3,1,16,2018-01-31 07:51,2018-01-26 02:56:00,0,0,Выполнено,0,2018-01-27 06:26:00,2018-01-27 06:57:00,4,4,0,15,28.016666666666666,307,313,124.91666666666667
37,Выполнить установку/удаление ПО,АРМ,3,1,17,2018-01-31 07:51,2018-01-26 03:06:00,0,0,Выполнено.,0,2018-01-27 05:12:00,2018-02-03 07:52:00,4,4,0,16,196.76666666666668,307,365,124.75
38,разблокировка УЗ REGION\*****,Сервис7,2,1,0,2018-01-31 07:51,2018-01-26 03:09:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 03:09:00,2018-01-26 04:16:00,1,3,7,17,1.1166666666666667,1237,12,124.7
39,"Заявка № ***********, *******************",Сервис7,2,1,18,2018-01-31 07:51,2018-01-26 03:21:00,0,0,Выполнено,0,2018-01-27 02:21:00,2018-02-03 07:52:00,1,4,7,11,196.51666666666668,458,313,124.5
40,Запрос на организацию БРМ,АРМ,3,1,19,2018-02-07 02:51,2018-01-26 03:28:00,0,0,Работы по обращению выполнены,0,2018-02-01 08:03:00,2018-02-01 08:08:00,4,4,0,12,148.66666666666666,335,1167,287.3833333333333
41,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,20,2018-02-02 16:36,2018-01-26 03:33:00,0,0,"выполнено переименование УЗ инициатора, оказана консультация  по оформлению заявки на добавление разделителя",0,2018-02-01 04:06:00,2018-02-08 07:55:00,2,4,101,18,316.3666666666667,374,1443,181.05
42,Необходимо предоставить доступ учетной записи пользователя к сетевому ресурсу.,АРМ,3,1,21,2018-01-31 07:51,2018-01-26 03:34:00,0,0,Исполнено,0,2018-01-26 04:01:00,2018-02-02 07:52:00,4,4,0,7,172.3,547,829,124.28333333333333
43,Сброс пароля,Сервис7,2,1,0,2018-01-31 07:51,2018-01-26 03:36:00,0,0,Выполнен сброс пароля для УЗ ************. Пользователь идентифицирован.,0,2018-01-26 04:00:00,2018-02-02 07:52:00,1,3,7,19,172.26666666666668,1031,198,124.25
44,"Заявка № ***********, *******************",Сервис7,2,1,22,2018-01-31 07:51,2018-01-26 03:38:00,0,0,Доступ предоставлен,0,2018-01-26 04:41:00,2018-02-02 07:52:00,1,4,7,20,172.23333333333332,458,626,124.21666666666667
45,разблокировка УЗ REGION\*****,Сервис7,2,1,0,2018-01-31 07:51,2018-01-26 03:41:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 03:41:00,2018-01-26 03:46:00,1,3,7,20,0.0833333333333333,1237,12,124.16666666666667
46,<Бот-наблюдения> Система23. Ухудшение статуса сервиса.  ,Сервис23,2,1,23,2018-01-31 07:51,2018-01-26 03:43:00,0,0,Поток *********** отработал штатно.,0,2018-01-26 04:51:00,2018-02-02 07:52:00,1,3,23,5,172.15,237,1086,124.13333333333334
47,Замена/добавление Сертификат на сервере Система13,Сервис13,2,1,8,2018-01-31 07:51,2018-01-26 03:51:00,0,0,Сертификат-файл зарегистрирован,0,2018-01-26 16:20:00,2018-02-03 07:52:00,1,4,13,21,196.01666666666668,330,1231,124.0
48,Настройка ЭП в Сервис22,Сервис22,3,1,24,2018-01-31 07:51,2018-01-26 03:51:00,0,0,Права предоставлены.,0,2018-01-26 13:16:00,2018-01-26 17:03:00,2,4,22,21,13.2,510,1094,124.0
49,Настройка ЭП в Сервис22,Сервис22,3,1,24,2018-01-31 07:51,2018-01-26 03:53:00,0,0,Выполнено.,0,2018-01-26 07:14:00,2018-01-26 07:26:00,2,4,22,22,3.55,510,365,123.96666666666667
50,"Заявка № ***********, *******************",АРМ,3,1,25,2018-01-28 03:51,2018-01-26 03:55:00,0,0,Работы по обращению выполнены,0,2018-01-28 00:23:00,2018-02-04 07:53:00,4,4,0,23,219.96666666666667,458,1167,47.93333333333333
51,"Заявка № ***********, *******************",Сервис25,3,1,26,2018-01-28 03:51,2018-01-26 03:55:00,0,0,Работы по обращению выполнены,0,2018-01-26 06:14:00,2018-02-02 07:52:00,4,4,25,24,171.95,458,1167,47.93333333333333
52,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис11,3,1,8,2018-01-28 10:02,2018-01-26 04:02:00,0,0,Работы по обращению выполнены,0,2018-01-26 06:20:00,2018-01-26 06:25:00,4,4,11,11,2.3833333333333333,374,1167,54.0
53,Система24. Общие вопросы,Сервис43,2,1,27,2018-02-04 15:36,2018-01-26 04:06:00,0,0,Пользователь проинформирован о внесённом сопровождении по электронной почте,0,2018-01-31 11:13:00,2018-02-07 12:31:00,1,3,125,25,296.4166666666667,1044,1028,227.5
54,Разблокировка УЗ Система7 REGION\*****,Сервис7,2,1,0,2018-01-31 07:51,2018-01-26 04:07:00,0,0,выполнена разблокировка УЗ Система7 N)_BOSS\****************. Причина блокировки пользователю не известна.,0,2018-01-26 04:07:00,2018-01-26 04:18:00,1,3,7,26,0.1833333333333333,835,1438,123.73333333333333
55,Контроль ПУ. Заявка на доступ к портам.,Сервис2,3,1,28,2018-01-31 07:51,2018-01-26 04:09:00,0,0,Доступ предоставлен согласно заявке,0,2018-01-28 06:48:00,2018-01-28 06:51:00,4,4,2,27,50.7,495,642,123.7
56,разблокировка УЗ REGION\*****,Сервис7,2,1,0,2018-01-31 07:51,2018-01-26 04:14:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 04:14:00,2018-02-02 07:52:00,1,3,7,28,171.63333333333333,1237,12,123.61666666666666
57,разблокировка УЗ REGION\*****,Сервис7,2,1,0,2018-01-31 07:51,2018-01-26 04:20:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 04:20:00,2018-02-02 07:52:00,1,3,7,8,171.53333333333333,1237,12,123.51666666666667
58,Обнаружено нарушение целостности при обработке задания СЗИ SN,Сервис287,3,1,29,2018-01-31 07:51,2018-01-26 04:22:00,0,0,Выполнен пересчет задания КЦ.,0,2018-01-27 02:36:00,2018-02-03 07:52:00,4,4,2,29,195.5,562,162,123.48333333333333
59,Изменение состава группы,Сервис7,2,1,8,2018-01-31 07:51,2018-01-26 04:22:00,0,0,"""В соответствии с п.********   Регламента  взаимодействия и   с письмом********** (см. вложение) с **.**.**** управление группами безопасности Система7 (создание, изменение,
удаление, управление составом групп), относящимися к региональным ИТ-системам, а также группами безопасности Система7, связанными с предоставлением доступа к файловым ресурсам, ресурсам печати находится в
зоне ответственности администраторов информационной безопасности данных ИТ-систем и ИТ-специалистов территориального учреждения, отвечающих за управление данными ресурсами""

В случае если у специалистов ОТС отсутствуют необходимые права на объекты Система7, необходимо  инициировать запрос на делегирование прав, в соответствии с п. *********",0,2018-01-26 14:07:00,2018-01-28 00:58:00,1,4,7,2,44.6,472,24,123.48333333333333
60,"Заявка № ***********, *******************",Сервис7,2,1,30,2018-01-31 07:51,2018-01-26 04:24:00,0,0,Доступ прекращен.,0,2018-01-31 05:16:00,2018-02-07 07:56:00,1,4,7,2,291.53333333333336,458,664,123.45
61,"Заявка № ***********, *******************",Сервис58,2,1,31,2018-01-31 07:51,2018-01-26 04:24:00,0,0,Подготовлено. Предоставление прав будет выполнено после получения пользователем ключевой информации,0,2018-01-28 07:04:00,2018-02-04 08:19:00,1,4,58,30,219.91666666666663,458,1020,123.45
62,"Заявка № ***********, *******************",Сервис21,2,1,31,2018-01-31 07:51,2018-01-26 04:24:00,0,0,Выполнено.,0,2018-01-29 01:47:00,2018-02-07 07:56:00,1,4,21,30,291.53333333333336,458,365,123.45
63,"Заявка № ***********, *******************",Сервис58,2,1,31,2018-01-28 04:21,2018-01-26 04:24:00,0,0,Работы по обращению выполнены,0,2018-01-27 04:14:00,2018-02-03 07:52:00,1,4,58,30,195.46666666666667,458,1167,47.95
64,"Заявка № ***********, *******************",АРМ,3,1,2,2018-02-03 05:36,2018-01-26 04:24:00,0,0,Работы по обращению выполнены,0,2018-02-01 03:59:00,2018-02-08 07:55:00,4,4,0,2,315.51666666666665,458,1167,193.2
65,"Заявка № ***********, *******************",Сервис21,2,1,31,2018-01-28 04:21,2018-01-26 04:24:00,0,0,Работы по обращению выполнены,0,2018-01-27 03:56:00,2018-02-03 07:52:00,1,4,21,30,195.46666666666667,458,1167,47.95
66,Разблокировка учётной записи,Сервис7,2,1,0,2018-01-31 07:51,2018-01-26 04:29:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 04:36:00,2018-02-02 07:52:00,1,3,7,31,171.38333333333333,858,12,123.36666666666666
67,"засор раковины,  мужской сан/узел",Сервис64,3,1,32,2018-01-31 07:51,2018-01-26 04:44:00,0,0,Выполнена прочистка раковины специалистами *****************,0,2018-01-27 10:48:00,2018-02-03 12:08:00,4,4,64,32,199.4,1188,275,123.11666666666666
68,Контроль ПУ. Заявка на доступ к портам.,Сервис2,3,1,33,2018-01-31 07:51,2018-01-26 04:46:00,0,0,Пользователю предоставлен доступ согласно заявки Система500,0,2018-01-28 08:28:00,2018-02-04 09:46:00,4,4,2,32,221.0,495,1077,123.08333333333333
69,"Заявка № ***********, *******************",АРМ,3,1,2,2018-02-15 08:36,2018-01-26 04:51:00,0,0,Работы по обращению выполнены,0,2018-02-03 09:41:00,2018-02-10 10:58:00,4,4,0,8,366.1166666666667,458,1167,483.75
70,Включение учётной записи,Сервис7,2,1,8,2018-01-31 07:51,2018-01-26 04:51:00,0,0,Включение УЗ ********** выполнено.,0,2018-01-26 06:14:00,2018-02-02 07:52:00,1,4,7,33,171.01666666666668,290,113,123.0
71,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис11,3,1,8,2018-02-10 08:24,2018-01-26 04:52:00,0,0,Работы по обращению выполнены,0,2018-01-28 06:09:00,2018-02-04 07:53:00,4,4,11,33,219.01666666666668,374,1167,363.53333333333336
72,"Заявка № ***********, *******************",Сервис158,3,1,30,2018-01-31 07:51,2018-01-26 04:58:00,0,0,Доступ предоставлен,0,2018-01-26 05:33:00,2018-02-02 07:52:00,4,4,164,8,170.9,458,626,122.88333333333334
73,Система26,Сервис26,2,1,34,2018-01-31 07:51,2018-01-26 04:59:00,0,0,Добрый день. РК удалена.,0,2018-01-26 12:12:00,2018-01-26 13:43:00,1,3,26,34,8.733333333333333,1045,511,122.86666666666666
74,Изменение состава группы,Сервис7,2,1,8,2018-01-31 07:51,2018-01-26 04:59:00,0,0,"""В соответствии с п.********   Регламента  взаимодействия и   с письмом********** (см. вложение) с **.**.**** управление группами безопасности Система7 (создание, изменение,
удаление, управление составом групп), относящимися к региональным ИТ-системам, а также группами безопасности Система7, связанными с предоставлением доступа к файловым ресурсам, ресурсам печати находится в
зоне ответственности администраторов информационной безопасности данных ИТ-систем и ИТ-специалистов территориального учреждения, отвечающих за управление данными ресурсами""

В случае если у специалистов ОТС отсутствуют необходимые права на объекты Система7, необходимо  инициировать запрос на делегирование прав, в соответствии с п. *********",0,2018-01-26 13:52:00,2018-02-02 15:11:00,1,4,7,9,178.2,472,24,122.86666666666666
75,перемещение груза,Сервис73,3,1,35,2018-01-31 07:51,2018-01-26 05:00:00,0,0,Груз переместили.,0,2018-01-28 07:14:00,2018-02-04 08:34:00,4,4,71,32,219.56666666666663,1210,422,122.85
76,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис41,3,1,8,2018-01-31 06:17,2018-01-26 05:02:00,0,0,Работы по обращению выполнены,0,2018-01-26 07:49:00,2018-02-02 09:06:00,4,4,43,1,172.06666666666666,374,1167,121.25
77,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-01-31 07:51,2018-01-26 05:04:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-26 05:51:00,2018-01-26 11:21:00,3,4,18,35,6.283333333333333,514,466,122.78333333333333
78,разблокировка УЗ REGION\*****,Сервис7,2,1,0,2018-01-31 07:51,2018-01-26 05:04:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 05:04:00,2018-02-02 07:52:00,1,3,7,21,170.8,1237,12,122.78333333333333
79,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-01-31 07:51,2018-01-26 05:05:00,0,0,Работы по обращению выполнены,0,2018-01-26 08:39:00,2018-02-02 09:56:00,2,4,101,1,172.85,374,1167,122.76666666666667
80,Изменение состава группы,Сервис7,2,1,8,2018-01-31 07:51,2018-01-26 05:11:00,0,0,Объект ЕСК  NE_BOSS\**************** исключен из группы *********** домена ne_Boss,0,2018-01-26 14:16:00,2018-01-28 06:49:00,1,4,7,36,49.63333333333333,472,903,122.66666666666667
81,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-01-31 07:51,2018-01-26 05:13:00,0,0,"Добрый день. Контрагент добавлен в справочник Поставщики (подрядчики, исполнители).
При наличии дополнительных вопросов, просьба перезвонить по тел ********",0,2018-01-26 06:02:00,2018-02-02 07:52:00,3,4,18,1,170.65,514,495,122.63333333333334
82,Замена/добавление Сертификат на сервере Система13,Сервис13,2,1,8,2018-01-31 07:51,2018-01-26 05:15:00,0,0,Сертификат-файл зарегистрирован,0,2018-01-26 16:20:00,2018-01-27 03:42:00,1,4,13,37,22.45,330,1231,122.6
83,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-01-28 05:21,2018-01-26 05:21:00,0,0,Работы по обращению выполнены,0,2018-01-26 15:20:00,2018-01-26 15:21:00,2,4,101,38,10.0,374,1167,48.0
84,Контроль ПУ. Заявка на доступ к портам.,Сервис2,3,1,33,2018-01-31 07:51,2018-01-26 05:21:00,0,0,Пользователю предоставлен доступ согласно заявки Система500,0,2018-01-26 11:33:00,2018-02-02 12:54:00,4,4,2,32,175.55,495,1077,122.5
85,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-01-31 07:51,2018-01-26 05:28:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-26 06:20:00,2018-02-02 07:52:00,3,3,18,24,170.4,514,466,122.38333333333334
86,Контроль ПУ. Заявка на доступ к портам.,Сервис2,3,1,12,2018-01-31 07:51,2018-01-26 05:37:00,0,0,Доступ предоставлен согласно заявке,0,2018-01-31 06:55:00,2018-02-07 08:43:00,4,4,2,7,291.1,495,642,122.23333333333333
87,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-01-31 07:51,2018-01-26 05:40:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-26 06:21:00,2018-01-26 08:26:00,3,3,18,39,2.7666666666666666,514,466,122.18333333333334
88,Необходимо предоставить доступ учетной записи пользователя к сетевому ресурсу.,АРМ,3,1,21,2018-01-31 07:51,2018-01-26 05:42:00,0,0,Доступ предоставлен,0,2018-01-26 09:22:00,2018-02-02 10:38:00,4,4,0,7,172.93333333333334,547,626,122.15
89,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис11,3,1,8,2018-02-01 04:51,2018-01-26 05:44:00,0,0,Работы по обращению выполнены,0,2018-01-27 13:46:00,2018-01-28 01:12:00,4,4,11,11,43.46666666666667,374,1167,143.11666666666667
